key,title,abstract,claude_decision,claude_reason,codex_decision,codex_reason,gemini_decision,gemini_reason
11196695,Performance Analysis of Inline Compression in pySDC,"The volume of data required for High Performance Computing (HPC) jobs is growing faster than the memory storage available to store the required data, leading to performance bottlenecks. Hence the need for inline data compression, which reduces the amount of allocated memory needed by storing all data in its compressed format and decompressing/recompressing single variables as needed. We apply inline compression to the HPC application pySDC, a framework for parallel-in-time integration of partial differential equations. We introduce a new version of pySDC that has a compression manager to add inline compression functionality, along with a software cache that stores the decompressed state of the most frequently used variables. We use the ZFP lossy compressor to test our model with varying software cache sizes. Results show that having no cache has the best compression ratio (CR) at size 5.8, but having a cache size of 16 reduces total execution time by 2.6\texttimes while also slightly improving the memory footprint with a CR of 1.5. Our framework overall provides user versatility in the trade-off between execution time and memory savings.",,,,,,
11196699,Sustainably Modeling a Sustainable Future Climate,"Voluminous highly resolved climate data requires high-performance statistical modeling frameworks that are both accurate and sustainable on modern supercomputing platforms. Spatio-temporal modeling methods, such as Maximum Likelihood Estimation (MLE), primarily rely on performing a dense Cholesky factorization of large covariance matrices, which becomes a significant bottleneck at scale. We present an enhanced version of ExaGeoStat, a high-performance geostatistical modeling framework, designed to address this challenge through tile-based matrix compression, mixed-precision arithmetic, and architecture-aware scheduling. Building upon our previous work on Fugaku, an Arm A64FX system, we extend our results to three supercomputers featuring diverse hardware architectures: Frontier (AMD MI250X GPUs), Alps (NVIDIA GH200 GPUs), and Shaheen III (AMD EPYC Genoa CPUs). We demonstrate that adaptive algorithms targeting low-rank and low-precision opportunities can deliver up to 4\texttimes speedup, 2\texttimes memory savings, and over 70\% energy reduction while maintaining application-acceptable accuracy. Our work demonstrates the feasibility of running accurate climate-emulation workloads on next-generation AI hardware in a power-efficient manner, thereby advancing the sustainability of climate data science itself.",,,,,,
11198219,Blockchain-Enabled Smart Contracts for Transparent and Sustainable Supply Chains,"Transparency and sustainability of supply chain have been a big issues of concern in the current society. Most of the supply chain systems used in the traditional models expose the links to risks such as frauds, unethical procurement, and regulatory violations. With the help of blockchain and smart contract mechanism, customers can re-engineer the supply chain solutions as decentralized, transparent and tamper-proof. This paper aims at discussing the possibility of applying smart contracts on the blockchain technology in increasing traceability, eliminating fraud, and encouraging sustainable sourcing. The randomly selected business cases reveal that blockchain enabling supply chain communications increases traceability, reduces overhead fees and delineates better environmental and ethics responsibilities.",,,,,,
11201935,Multi-Objective Low-Carbon Scheduling Method for Data Centers Based on Ensemble Reinforcement Learning,"The explosive growth of GPU data centers is driven by the surging demand for machine learning, artificial intelligence, and high-performance computing applications, with the pressure on the power grid intensifying. Meanwhile, as renewable energy becomes more integrated into the grid, the carbon intensity of grid electricity varies at different times. This variability presents an opportunity for data centers to align their workloads with periods of high renewable energy generation and low carbon intensity, thereby reducing their operational carbon emissions. This paper proposes a multi-objective scheduling strategy to minimize carbon emissions and maximize quality of service (QoS) by identifying the Pareto front. The proposed strategy employs an integrated reinforcement learning model to dynamically integrate action strategies for multiple objectives. Results from a case study based on a real-world, large-scale data center illustrate the method's effectiveness. This effectiveness arises from its dual-objective job scheduling strategy, which simultaneously reduces carbon emissions from electricity consumption and maintains a high quality of service in data centers. The method aims to promote the low-carbon operation of data centers, provide decision support, and facilitate coordination between data centers and power systems in real-world applications.",,,,,,
11202221,SOT-MRAM Bitcell Scaling With BEOL Read Selectors: A DTCO Study,"This work explores the cross-node scaling potential of SOT-MRAM for last-level caches (LLCs) under heterogeneous system scaling paradigm. We perform extensive design-technology co-optimization (DTCO) exercises to evaluate the bitcell footprint for different cell configurations at a representative 7 nm technology and to assess their implications on read and write power-performance. We crucially identify the MTJ routing struggle in conventional two-transistor one-resistor (2T1R) SOT-MRAMs as the primary bitcell area scaling challenge and propose to use BEOL read selectors (BEOL RSs) that enable (10\%–40\%) bitcell area reduction and eventually match sub-N3 SRAM. On writability, we affirm that BEOL RS-based bitcells could meet the required SOT switching current, provided the magnetic free layer properties be engineered in line with LLC-specific, (0.1–100) s retention targets. This is particularly to attribute to their: 1) more available Si fins for write transistor (WRT) and 2) lower bitline resistance at reduced cell width. We nevertheless underscore the read tradeoff associated with BEOL RSs, with the low-drive IGZO-FET selector sacrificing the latency up to (3–5) ns and the imperfectly rectifying diode selectors suffering (2.5–5) $\times $ energy cost relative to 2T1R. This article thus highlights the realistic prospects and hurdles of BEOL RSs toward holistic power-performance-area (PPA) scaling of SOT-MRAM.",,,,,,
11207394,Performance Benchmarking of Tamil Nadu's Intra-State Bus Network: Evidence from Data Envelopment Analysis,"Efficient and accessible public transportation systems are vital catalysts for economic development, facilitating connectivity, enabling trade, and improving the quality of life in both urban and regional areas. In regions like Tamil Nadu, India, intra-state bus routes form a critical backbone of transportation. Given the critical function of these bus networks, a deeper understanding of the factors driving their performance is essential. This study employs Data Envelopment Analysis (DEA), to systematically evaluate the operational efficiency of major intra-state bus routes connecting Chennai to 11 regions within Tamil Nadu from 2018 to 2024. An Input-Oriented DEA model under the assumption of Constant Returns to Scale is utilized, considering routes as Decision Making Units, inputs such as daily trip count, headway, and inter-day service interval, while using occupancy ratio as the output variable. The analysis identifies technically efficient routes that define the best-practice frontier for each year. A large majority of the evaluated DMUs (77.27\%) demonstrate high technical efficiency (scores exceeding 0.8). This comprises 33.12\% DMUs that are fully efficient (score $=1), 17.53 \%$ with scores between 0.9 and 0.99, and 26.62\% with scores between 0.8 and 0.89. High technical efficiency is achieved across bus routes serving diverse administrative classifications (Corporations, Municipalities, and Towns), reflecting the operational capability to maintain strong performance throughout the network's varying regional contexts. This can be attributed to the positive impact of strategic investments in transport infrastructure, including road enhancements, modern bus stations, fleet expansion, and technology integration. These results provide valuable insights for bus operators and regional transport authorities aimed at optimizing resource allocation and enhancing service delivery.",,,,,,
11207406,An Efficient Method for Preemptive Scheduling of Resources in Kubernetes,"Preemptive scheduling reallocates resources to highpriority pods by terminating low-priority pods when idle resources are insufficient in a Kubernetes cluster. The default Kubernetes preemption strategy suffers from poor resource utilization because it neglects scoring metrics, such as network bandwidth and image locality. In this paper, an efficient preemptive resource scheduling method is proposed to address this issue with a well-designed two-layer-based pod prioritization mechanism considering both the pod's restart policy and runtime resource usage, and a node scoring model taking the network bandwidth into consideration. Experimental results show that the proposed method significantly improves resource utilization, reduces scheduling latency, and increases the success rate of highpriority pod deployments compared to the default Kubernetes strategy.",,,,,,
11207451,LLM-THP: A Large Language Model-Powered Terminal Honeypot Dialogue Framework,"With the acceleration of digital globalization, cyber threats are showing a trend of complexity and diversification, posing serious security challenges to critical information infrastructure and sensitive data. In this context, the development of efficient and accurate cyber threat detection technologies has become an urgent need to address potential risks and safeguard the security of the digital ecosystem. Terminal Honeypot is a security tool specifically designed to trap and analyze network attacks against end devices. It attracts attackers by simulating real terminal environments, thus collecting attacker behavioral data and attack methods. Development cycle, high resource consumption, and lack of the ability actively adapt to different attacker behaviors. These problems limit the analysis of the depth of the attack and the subsequent collection of attack information. Therefore, in order to adapt to the unknown attacks against Internet devices in the new situation, it is particularly important to design a terminal honeypot that is free from the predefined conditions and can flexibly respond to various attack scenarios. In this paper, a terminal honeypot design method based on LLM (Large Language Model), LLM-THP, is proposed to solve the problem that the existing honeypots are difficult to cope with unknown network threats. Firstly, we study to construct the initial honeypot environment by presetting prompts and design CoT-DPU, Chain-of-Thought Dynamic Prompt Update, which effectively avoids the token overflow problem in multiple attack interactions. For the challenges of attacker interaction, model invocation, and time asynchrony in practical deployment, the LLM-THP framework designs an efficient workflow. Experimental results show that LLM-THP is better than existing mainstream terminal honeypots in terms of honeypot attractiveness, correct response rate, and simulation.",,,,,,
11212905,Performance and Scalability Analysis of Single and Hybrid Programming Models Combining CUDA and OpenMP in Multicore and Manycore Architectures,"In this paper, we explore and compare the performance of two popular parallel programming models: OpenMP and CUDA, for the purpose of matrix multiplication. Based on rigorous examination of the literature and some fresh experimental works, we contrast the merits and limitations of each technique in view of execution time, scalability, speedup and utilization of resources. In addition to duplicate benchmarks of available research work, we introduce an emerging hybrid estimation technique through partitioning of matrix by CPU (OpenMP) and GPU (CUDA) which enhances the economic growth. Results bear significant values toward choosing efficient programming models in light of the architecture of the hardware and dimensionality of an application, providing the sustainable development.",,,,,,
11218253,Artificial Intelligence in the Middle East and Africa: Needs and Requirements,"The Middle East and Africa (MEA) region presents a unique set of needs and opportunities for generative artificial intelligence (AI), driven by economic diversification, digital transformation, and social challenges. Key sectors such as health care, education, finance, and governance require AI-driven solutions tailored to linguistic, cultural, and infrastructural nuances. In the Middle East, AI is central to national visions like Saudi Arabia's Vision 2030 and the United Arab Emirates's (UAE's) AI strategy, strengthening innovation in smart cities and cybersecurity. Africa, with its diverse economies and growing tech hubs, demands AI for localized content creation, agricultural optimization, and financial inclusion. Addressing data scarcity, ethical AI deployment, and skill development remains critical for Africa. A region-specific approach to generative AI can enhance economic growth, societal well-being, and sustainable development in MEA.",,,,,,
11219172,Distributed Discrete Morse Sandwich: Efficient Computation of Persistence Diagrams for Massive Scalar Data,"The persistence diagram, which describes the topological features of a dataset, is a key descriptor in Topological Data Analysis. The ``Discrete Morse Sandwich'' (DMS) method has been reported to be the most efficient algorithm for computing persistence diagrams of 3D scalar fields on a single node, using shared-memory parallelism. In this work, we extend DMS to distributed-memory parallelism for the efficient and scalable computation of persistence diagrams for massive datasets across multiple compute nodes. On the one hand, we can leverage the embarrassingly parallel procedure of the first and most time-consuming step of DMS (namely the discrete gradient computation). On the other hand, the efficient distributed computations of the subsequent DMS steps are much more challenging. To address this, we have extensively revised the DMS routines by contributing a new self-correcting distributed pairing algorithm, redesigning key data structures and introducing computation tokens to coordinate distributed computations. We have also introduced a dedicated communication thread to overlap communication and computation. Detailed performance analyses show the scalability of our hybrid MPI+thread approach for strong and weak scaling using up to 16 nodes of 32 cores (512 cores total). Our algorithm outperforms DIPHA, a reference method for the distributed computation of persistence diagrams, with an average speedup of $\times 8$\texttimes8 on 512 cores. We show the practical capabilities of our approach by computing the persistence diagram of a public 3D scalar field of 6 billion vertices in 174 seconds on 512 cores. Finally, we provide a usage example of our open-source implementation at https://github.com/eve-le-guillou/DDMS-example.",,,,,,
11221934,Implementation of the Three-Dimensional SWiPLab-WFM Wind Farm Simulation Model on a Real-Time Simulator Cluster for HIL-Applications,"The Smart WindPark Laboratory Wind Flow Model (SWiPLab-WFM) has been developed to simulate three-dimensional wind farm aerodynamics along with wind turbine emulators, i.e. physical test benches, consisting of mechanical drive trains, generators and power electronics in order to consider all relevant cross-couplings of a real wind farm in multiple physical domains. This paper deals with model design and modularization of the SWiPLab-WFM to meet the requirements of a dynamic wind flow simulation. The decentralized real-time simulator cluster architecture, which is capable of computing the model for 15 turbine emulators in total is introduced, along with its hardware specifications and I/O properties. Communication, data exchange and implementation aspects are discussed and results concerning computation efficiency are presented.",,,,,,
11225043,Carbon Responsibility Allocation in Real-Time Electricity Market based on KernelSHAP,"We propose a scalable approach for allocating carbon responsibility among electricity market participants from both generation and consumption sides using KernelSHAP, a sampling-based estimation of Shapley values. The Shapley value provides mathematically proven fair allocation among participants through its uniquely satisfied axioms of efficiency, symmetry, and marginality. However, its exponential computational complexity with respect to the number of participants makes it impractical for any real-world sized electricity market, especially with real-time (5-minute) clearing requirements. Our KernelSHAP-based method significantly reduces computational burden while maintaining allocation accuracy. Through parallel computation using 500 CPU cores on a high-performance computing cluster, we validate our approach on IEEE 14-bus and 118-bus systems, demonstrating that KernelSHAP closely approximates traditional Shapley values while achieving substantial computational speedup.",,,,,,
11225317,Short-Term Load Forecasting for AI-Data Center,"Recent research shows large-scale AI-centric data centers could experience rapid fluctuations in power demand due to varying computation loads such as sudden spikes from inference or interruption of training large language models (LLMs). As a consequence, such huge and fluctuating power demand pose significant challenges to both data center and power utility operation. Accurate short-term power forecasting allows data centers and utilities to dynamically allocate resources and power large computing clusters as required. However, due to the complex data center power system structure and the black-box nature of the underlying AI algorithms running in data centers, explicit modeling of AI-data center is quite challenging. Alternatively, to deal with this emerging load forecasting problem, we propose a data-driven workflow to predict the short-term electricity load in an AI-data center, and such workflow is compatible with learning-based algorithms such as LSTM, GRU, 1D-CNN. We validate our framework, which achieves decent accuracy on data center GPU short-term power consumption. This provides opportunity for improved power management and sustainable data center operation.",,,,,,
11225556,Sustainable Aviation Fuel Generation from Carbon-Captured CO2: Electricity Impact and Demand-Side Flexibility Modeling,"As the aviation sector seeks to reduce its environmental impact, sustainable aviation fuel (SAF) has emerged as a promising solution for lowering greenhouse gas (GHG) emissions. Despite SAF's compatibility with existing infrastructure and its potential for significant emissions reductions, large-scale SAF production poses challenges to electricity grid operations and planning. Building on prior work, which analyzed the capacity expansion needs and corresponding costs for different SAF production levels in the U.S. power grid, this study explores the operational impacts of SAF demand within a net-zero GHG electricity grid for the U.S. Specifically, we develop a production cost modeling approach to evaluate the daily grid operation impacts of SAF demand and examine the role of demand-side flexibility as a strategy to mitigate these impacts. By integrating an optimization model that treats SAF production demand as a flexible load, we analyze how this flexibility could impact renewable energy utilization and reduce system costs. Our results show that with lower capacity factor for the SAF production process, demand-side flexibility reduces reliance on non-renewable resources and lowers total system costs by up to 84\% and 86\%, respectively. This result indicates actionable insights for integrating SAF demand in future grid planning and operations.",,,,,,
11233586,Trailblazing NanoComm through Advanced Architectures and Efficient System Designs,"Today nanoscale communication systems are nearly half simple-to-using technology changes, allowing nanodevices to interact freely and effortlessly with one another in numerous applications, such as biomedical sensing, environmental monitoring, or high-performance computing. The present study highlights three main developments: miniaturization of devices, energy efficiency, and scalable network architectures. The ultra-compact and efficient devices are developed by using the latest transistors, like FinFETs and Tunnel FETs, alongside novel nanomaterials, such as graphene and carbon nanotubes. The study integrates bio-inspired energy harvesting mechanisms, including piezoelectric and triboelectric nanogenerators, for the purpose of achieving sustainable and self-powered networks. Including techniques that use adaptive transmission, their new framework, supported by molecular and electromagnetic communication paradigms, reduces energy by 50 percent while increasing throughput by 55 percent. These network architectures can be optimized using hierarchical and hybrid models towards enhanced scalability and adaptability with AI-based SDN. The experimental model suggests advanced cryptographic protocols coupled with quantum encryption to solve security issues along the reliable and secure commutation lines. The performance evaluation indicates that molecular communication achieves very good energy efficiency (<10 pJ/bit), while the newly emerged technologies based on quantum principles improve speed and security for future computation applications. The proposed framework enhances reliability, low latency, and energy efficiency, thus setting the stage for disruptive nanoscale networks. Finally, this paper concludes with the assertion that the integration of innovative devices and a sustainable communication approach that has been presented here are necessary steps toward scalable and energy-efficient nanoscale communication systems that meet the demand of future technologies.",,,,,,
11234794,Enhancing Energy Efficiency in Embedded Machine Learning Systems via Neuromorphic Architecture,"As embedded systems are increasingly used in edge computing applications, the demand for machine learning (ML) capabilities has increased. CPUs and GPUs are traditional computing architectures, but their power consumption and memory constraints often limit their performance. Embedded machine learning systems can be made more energy-efficient by using neuromorphic architectures. With neuromorphic computing, low-power, high-performance computation is achieved using spiking neural networks (SNN s). Our approach reduces energy consumption without compromising accuracy by combining approximate computing with neuron sensitivity analysis via backpropagation. Using datasets such as MNIST, Fashion-MNIST, and the ASL Alphabet, neuromorphic systems are validated as being more energy-efficient, latency-free, and scalable than conventional systems. Intel's Loihi and NM500 hardware implementations have demonstrated that neuromorphic models consume over an order of magnitude less energy than GPUs and CPUs. As ML devices become more intelligent and sustainable, neuromorphic architectures have significant potential.",,,,,,
11235398,End-To-End Containerized Testbed for Evaluation of Next-Generation Wireless Technology Dataset,"Extensive evaluation of various factors affecting affecting the quality of service (QoS), and signal strength using traditional and advanced tools is pertinent for the efficient implementation of futuristic applications. Most of the existing comprehensive evaluation tools such as virtual machines, python based virtual environments, and cloud-based virtualization suffers from limitations such as higher resource consumption, lack of full process isolation, higher time consumption, and inability to be replicated across diverse environments. To alleviate the above mentioned concerns, in this work, we proposed an end-to-end Docker container based testbed that can support multiple deployments in their isolated containers without comprising the performance, comparatively lesser resource utilization, and reduced latency. Our approach is validated on open-source dataset by using deep learning model as well as statistical tool to identify the parameters affecting the signal strength significantly. Evaluation results included in this work highlights the feasibility of our containerization based testbed for comprehensive evaluation.",,,,,,
11235575,Scaling liquid cooling for Google Data Center AI applications to a 1 GW fleet,"Computer chip power and power densities are predicted to continue to increase for the foreseeable future. Similarly, data center (DC) space constraints are driving the increase of information technology equipment (ITE) deployment densities, i.e. ITE $/ \mathrmm^3$. Liquid cooled ITE thermal performance is generally superior to air cooling and is achieved with significantly greater energy efficiency and higher power density. Challenging thermal management requirements for $\mathrmAI / \mathrmML$ systems, are motivating the DC industry to move beyond air cooling to liquid cooling ITE in order to cool more powerful chips within smaller volumes and with greater energy efficiencies. Liquid cooled ITE is typically a high performance product for DC computing applications such that equipment requires high standards of end-to-end thermal-hydraulic performance, quality, reliability \& supply chain robustness. Liquid cooled equipment includes cold plates (which are typically in direct physical contact with the heat dissipating equipment), pumps, Coolant Distribution Units (CDU) (which typically decouple facility cooling loops from the ITE liquid cooling loop to deliver precisely controlled liquid temperature, pressure, flow and cleanliness to ITE), heat exchangers (e.g. air/liquid \& liquid/liquid), hard and flexible tubing, immersion cooling tanks, liquids (e.g. water, glycol, dielectric), interoperable, multi-source rack and tray level liquid interconnects. For broader adoption of liquid cooled ITE, liquid cooling technologies must be designed and developed to deliver the high engineering performance and reliability required to support the exponential growth of the DC industry. In addition to performance and reliability, to enable scale adoption of liquid cooling ITE, DC owners are recommended to develop more environmentally sustainable DC architectures and supply chain, deployment and operations strategies which are suitable beyond smaller-scale, niche LC deployments. In 2018, Google publicly announced the introduction of liquid cooling in their data centers for machine learning TPUv3. In 2021, the TPUv4 was unveiled as the second generation liquid cooled ML platform. In 2024, Google published information on TPUv5, the third generation liquid cooled ML system. Thermal management of the TPUv3, TPUv4, and TPUv5, and other high power ITE within a small server volume, is enabled by liquid cooling equipment designed to meet the high thermalhydraulic performance standards required for these applications. This paper outlines the technical and strategic model pursued by Google for designing for, and scaling, liquid cooled ITE for data center applications.",,,,,,
11235634,Liquid Cooling Optimization for Data Centers with Reinforcement Learning,"The growing energy demands of machine learning workloads require more sustainable data centers with reduced energy consumption and lower carbon footprints. Highperformance computing (HPC) and supercomputing data centers, which utilize liquid cooling for improved efficiency over traditional air cooling, stand to benefit significantly from advanced optimization strategies. In this study, we propose a novel Reinforcement Learning (RL) based approach to optimize liquid cooling systems (RL-LC). By applying RL at varying levels of granularity in cooling control, our method achieves over 20\% energy savings, delivering a more efficient and sustainable solution for data center management. Additionally, we introduce a flexible analytical model that supports simulations and digital twin applications, focusing on reducing energy consumption and carbon emissions. This work provides key advancements in liquid cooling technology, offering practical insights to mitigate the environmental impact of HPC operations.",,,,,,
11237236,How to Cool Chips with Lasers: Startup Plans to Convert Heat to Light in Data-Center Processors,"Modern high-performance chips are marvels of engineering, containing tens of billions of transistors. The problem is, you can't use them all at once. If you did, you would create hot spots--high temperatures concentrated in tiny areas--with power densities nearing those found at the surface of the sun. This has led to a frustrating paradox known as dark silicon, a term coined by computer architects to describe the growing portion of a chip that must be kept powered down. Up to 80 percent of the transistors on a modern chip must remain ``dark'' at any given moment to keep the chip from sizzling. We are building supercomputers on a sliver of silicon but only using a fraction of their potential. It's like building a skyscraper and being able to use only the first 10 floors.",,,,,,
11240260,Stochastic Model Predictive Control with Direct Feedforward Compensation: Harvesting Idle Resources in High-Performance Computing,"In high-performance computing (HPC), many research has been conducted on how to efficiently utilize the idle time of HPC resources (periods when no jobs are submitted to the platform). One promising approach is to exploit this idle time by injecting small, flexible, independent, and interruptible jobs that have no strict time constraints. However, managing the injection of these jobs is challenging due to the stochastic nature of job parameters, such as execution times and resource consumption. Additionally, process noise--resulting from system complexity and the arrival and execution of varying external workloads--can interrupt or terminate these filler jobs. In this paper, we propose and evaluate, using real data, a Stochastic Model Predictive Control (SMPC) approach that addresses system uncertainty and incorporates a feed-forward compensation mechanism for disturbance rejection. The proposed algorithm shows promising results: it ensures a platform usage rate of 98\%, significantly improving overall resource efficiency and reducing the number of early terminated jobs compared to previous work.",,,,,,
11241007,Tensor Program Optimization for the RISC-V Vector Extension Using Probabilistic Programs,"RISC-V provides a flexible and scalable platform for applications ranging from embedded devices to high-performance computing clusters. Particularly, its RISC-V Vector Extension (RVV) becomes of interest for the acceleration of AI workloads. But writing software that efficiently utilizes the vector units of RISC-V CPUs without expert knowledge requires the programmer to rely on the autovectorization features of compilers or hand-crafted libraries like muRISCV-NN. Smarter approaches, like autotuning frameworks, have been missing the integration with the RISC-V RVV extension, thus heavily limiting the efficient deployment of complex AI workloads. In this paper, we present a workflow based on the TVM compiler to efficiently map AI workloads onto RISC-V vector units. Instead of relying on hand-crafted libraries, we integrated the RVV extension into TVM's MetaSchedule framework, a probabilistic program framework for tensor operation tuning. We implemented different RISC-V SoCs on an FPGA and tuned a wide range of AI workloads on them. We found that our proposal shows a mean improvement of 46\% in execution latency when compared against the autovectorization feature of GCC, and 29\% against muRISCV-NN. Moreover, the binary resulting from our proposal has a smaller code memory footprint, making it more suitable for embedded devices. Finally, we also evaluated our solution on a commercially available RISC-V SoC implementing the RVV 1.0 Vector Extension and found our solution is able to find mappings that are 35\% faster on average than the ones proposed by LLVM. We open-sourced our proposal for the community to expand it to target other RISC-V extensions.",,,,,,
11242073,Characterizing Adaptive Mesh Refinement on Heterogeneous Platforms with Parthenon-VIBE,"Hero-class HPC simulations rely on Adaptive Mesh Refinement (AMR) to reduce compute and memory demands while maintaining accuracy. This work analyzes the performance of Parthenon, a block-structured AMR benchmark, on CPU-GPU systems. We show that smaller mesh blocks and deeper AMR levels degrade GPU performance due to increased communication, serial overheads, and inefficient GPU utilization. Through detailed profiling, we identify inefficiencies, low occupancy, and memory access bottlenecks. We further analyze rank scalability and memory constraints, and propose optimizations to improve GPU throughput and reduce memory footprint. Our insights can inform future AMR deployments on Department of Energy's upcoming heterogeneous supercomputers.",,,,,,
11249764,Comparing Performance of Variational Quantum Algorithm Simulations on HPC Systems,"Variational quantum algorithms are of special importance in the research on quantum computing applications because of their applicability to current Noisy Intermediate-Scale Quantum (NISQ) devices. The main building blocks of these algorithms define a relatively large parameter space, making the comparison of results and performance between different approaches and software simulators cumbersome and prone to errors. In this paper, we employ a generic description of the problem, in terms of both Hamiltonian and ansatz, to consistently port a problem definition across different simulators. A use case relevant to current quantum hardware has been run on a set of HPC systems and software simulators to study the dependence of performance on the runtime environment, the scalability of the simulation codes, and the agreement between the physical results, respectively. The results show that our toolchain can successfully translate a problem definition between different simulators. On the other hand, variational algorithms are limited in their scaling by the long runtimes with respect to their memory footprint, so they expose limited parallelism to computation. This shortcoming is partially mitigated by using techniques like job arrays. The potential of the parser tool within the toolchain for exploring HPC performance and comparisons of results of variational algorithm simulations is highlighted.",,,,,,
11251094,"Steep Subthreshold Slope Transistors for Low-Power Electronics: Evolution, Challenges, and Perspectives","In the past few decades, the development of ICs has followed Moore's law, and chip performance has been continuously improved based on device scaling and increased integration. However, as the device size approaches the physical limit, power tends to reach an unacceptable limit and becomes a bottleneck, limiting the clock speed of a single chip. Moreover, in recent years, with the booming development of artificial intelligence (AI) and high-performance computing (HPC) in this big data era, increasingly higher performance is required for chips. Advanced technologies, such as 3D stacking and chiplets, have been used to continuously improve chip performance, while simultaneously the power consumption of AI/HPC systems is continuously growing and has become a first-class design constraint. Various low-power techniques have been explored in the past 20 years. New energy-efficient architectures, such as near-memory computing, computing in memory, and neuromorphic computing, are being widely investigated. Power dissipation at the circuit level can be minimized by power management technologies, such as the use of multivoltage domains, multithreshold voltages, dynamic voltages, and frequency scaling. Beyond upper-level circuit and system strategies, transistor-level design serves as a foundational research method to address power consumption challenges, and reducing the supply voltage (VDD) is one of the most effective and direct ways. From the transistor perspective, VDD is essentially determined by the voltage needed for the transition from the off state to the on state with a satisfactory on/off current ratio. A steep subthreshold slope (SS) transistor is indispensable to make a sharper transition. This article focuses on emerging transistors with a steep SS of below 60 mV/dec at room temperature that can break the fundamental physical limitations of traditional MOSFETs. They include tunneling FETs (TFETs), negative-capacitance FETs (NCFETs), and cold-source FETs (CSFETs). Their theoretical mechanisms and electronic characteristics are reviewed as well as the state of the art and future development trends. These steep-slope transistors can be further integrated with circuit- and architecture-level low-power technologies, contributing to the green and sustainable development of chips.",,,,,,
11251100,"Advancing Sustainable Semiconductor Innovations Through Simulation, Modeling, and Mentorship: Toward Energy-Efficient and Inclusive Semiconductor Futures","The rapid growth in high-performance computing and artificial intelligence (AI)-driven applications has intensified concerns about the environmental sustainability of semiconductor technologies. This article explores the critical impact of simulation and device modeling in enabling sustainable semiconductor innovations. It highlights how these tools facilitate design technology co-optimization (DTCO), reduce environmental impact, and drive energy-efficient integrated circuit (IC) design. Beyond technical solutions, the article emphasizes the importance of mentorship, diversity, and global collaboration in creating a sustainable and inclusive semiconductor ecosystem. By aligning with the United Nations Sustainable Development Goals (SDGs), the semiconductor industry can continue to innovate responsibly, balancing technology with planetary and societal well-being.",,,,,,
11252030,An Improved Quasi-Z-Source Converter Topology With High Boosting Facility,"In this paper, immature Quasi-Z-Source Boost converter topology has been matured to construct improved converter topology for high boosting facility in the area of fast charging station and solar energy harvesting. Suitability of the proposed system has been furthermore enriched by sustainable designing and high performance computing of across service matrices for modeling and simulation under spike of the green power processing system with optimized design for substantial performance parameter evaluation at a platform of converter topology fabrication as objective of the paper",,,,,,
11253943,Comprehensive Benchmarking of Parallel Programming Models: A Multi-Dimensional Performance Analysis,"Parallel programming is an important part of High-Performance Computing (HPC). It helps run large scientific simulations, artificial intelligence (AI) tasks, and big data applications efficiently. It makes computing faster and uses less energy, which supports sustainable development. It also speeds up the training of AI models by running many tasks at the same time on multiple processors. In the Internet of Things (IoT), parallel programming is useful for analyzing large data and managing complex systems like smart cities. This paper studies the performance of ten parallel programming models. These are OpenMP, MPI, CUDA, OpenCL, Pthreads, TBB, Charm++, HPX, Kokkos, and SYCL. The study looks at execution time, scalability, memory use, and energy use with benchmark applications. The results show that MPI works best for distributed workloads. CUDA is best for GPU-based tasks. OpenMP and TBB are simple and effective for shared memory systems. The study gives helpful insights for researchers and practitioners to select the right model. It also shows that hybrid models, with asynchronous execution and AI-based workload management, can improve performance, scalability, and energy efficiency in the future.",,,,,,
11257289,"An Open and Modular Avionics Enterprise Architecture: Facilitating Integration, Adaptability, and Sustainability with Emerging Technologies","This paper proposes an open and modular enterprise architecture concept to fulfill today's technological and economic objectives demanded by customers and enforced by the global ecosystem. Currently, various standards, guidelines, and new technologies are used to develop complex systems. In this era of rapid technological progress, developers have access to powerful tools like artificial intelligence, high-performance computing hardware, and new development platforms. However, the industry has not yet fully adopted these technologies, partly due to interoperability problems and the absence of a standardized development framework guided by a suitable enterprise architecture (EA). Such a framework would prevent vendor lock-in and facilitate faster, more complex scenario management. In this paper, we aim to discuss how to quickly maximize the ability to leverage new technologies. We propose a generic, open, and modular enterprise architecture focused on developing avionics systems. Why ``Open''? `Open' is defined as the commitment to using open standards and global architecture goals throughout the product life cycle. Why ``Modular''? The design of complex systems should be more decentralized and modular to enable incremental upgrades, classification, and configuration. Based on the proposed concept of enterprise architectures, a use case is presented, which can be used as a modern and efficient development process for avionics system development.",,,,,,
